autori,titolo,edizione,luogo,editore,anno,formato
Boldrin M. e Levine D.,Abolire la proprietà intellettuale,1,Roma - Bari,Laterza,2012,ebook
Dumbill E.,Planning for Big Data,1,Sebastopol,O' Reilly Media,2012,ebook
Fama A. (a curda di),Open Data - Data Journalism. Trasparenza e informazione al servizio delle società nell'era digitale,1,Catania,Semplicissimus Book Farm srl,2011,ebook
Kelly K.,Quello che vuole la tecnologia,1,Torino,Codice edizioni,2011,ebook
Mancuso V.,Obbedienza e libertà,2,Roma,Fazi editore,2012,ebook
Ziccardi G. (a cura di),Il giornalista hacker,1,Venezia,Marsilio,2012,ebook
Coupland D.,Marshall McLuhan,1,Milano,Isbn Edizioni,2011,ebook
Lovink G.,Ossessioni collettive,1,Milano,EGEA,2012,ebook
Cosenza V.,La società dei dati,1,Milano,Digitpub,2012,ebook
Dalla Pasqua C. F.,Il giornalista fantasma,1,Milano,Digitpub,2012,ebook
Maruzzi S.,La fine dell'era del buon senso,1,Milano,Digitpub,2012,ebook
De Biase L.,Scienza delle conseguenze,1,Milano,Digitpub,2012,ebook
Sgarzi B.,"Twitter, news e comunicazione",1,Milano,Digitpub,2012,ebook
Godin S.,Siamo tutti strambi: la nuova era del marketing su misura (varia),1,Segrate,Sperling & Kupfer,2011,ebook
Godin S.,La mucca viola: farsi notare (e fare fortuna) in un mondo tutto marrone,1,Segrate,Sperling & Kupfer,2004,ebook
Miceli S.,Futuro artigiano: l'innovazione nelle mani degli italiani,1,Venezia,Marsilio,2011,ebook
Shirky C.,Surplu cognitivo,1,Torino,Codice edizioni,2010,ebook
Pratellesi M. e Luna R. (a cura di),Social Winner: come la rete ha giocato un ruolo decisivo nelle elezioni 2013,1,Milano,il Saggiatore,2013,ebook
Monella Montalto L.,Real-Time Journalism - il Futuro della Notizia tra Liveblog e Coinvolgiment,1,Riccione,Informant,2013,ebook
Liviano D'Arcangelo G.,Invisibile è la tua vera patria - reportage dal declino: luoghi e vite dell'industria italiana che non c'è più,1,Milano,il Saggiatore,2013,ebook
Seminerio M.,La cura letale,1,Milano,BUR,2012,ebook
Spinoza B. (a cura di Cantoni R. e Ferragni F.),Etica e trattato teologico-politico,1,Novara,UTET,2013,ebook
Viola F.,Gamification,1,Roma,Arduino Viola,2011,ebook
Simonetta B.,Enne - La nuova criminalità invisibile 2.0,1,Milano,Rizzoli,2014,ebook
Attolico L.,Innovazione Lean,1,Milano,Ulrico Hoepli editore,2012,ebook
Floridi L.,La rivoluzione dell'informazione,1,Torino,Codice edizioni,2012,ebook
Berto F.,L'esistenza non è logica,1,Roma - Bari,Laterza,2012,ebook
Marazzini C. (a cura di),L'editoria italiana nell'era digitale,1,Firenze,Accademia della Crusca - goWare,2014,ebook
Parella B. e Zanni A. (a cura di),AAron Swartz - una vita per la cultura libera e la giustizia sociale,2,Italia,http://aaronswartztributo.tumblr.com/,2014,ebook
Vaglio Galatea M.,Didone per esempio,1,Roma,Lit Edizioni,2014,ebook
"Pais I., Peretti P e Spinelli C.",Crowfunding,1,Milano,EGEA,2014,ebook
Loukides M.,What is DevOps?,1,Sebastopol,O' Reilly Media,2012,ebook
Walls M.,Building a DevOps Culture,1,Sebastopol,O' Reilly Media,2013,ebook
Zwieback D.,DevOps Hiring,2,Sebastopol,O' Reilly Media,2014,ebook
Kauffman S.,"Reinventare il sacro - Una nuova concenzione della scienza, della ragione e della religione",1,Torino,Codice edizioni,2010,ebook
Gianotti C. (a cura di),La vita di Milarepa,1,Torino,UTET,2013,ebook
Lotman J. M.,La Cultura come Mente Collettiva e i problemi dell'intelligenza artificiale,1,Rimini,Guaraldi,2014,ebook
Berger J.,Contagioso,1,Segrate,Sperling & Kupfer,2014,ebook
Flora M. G. P.,Social TV: metodologie e metriche di analisi,1,Italia,Narcissus.me,2015,ebook
Ceronetti G. ,Un viaggio in Italia,1,Torino,Einaudi,2014,ebook
Garanzini G. ,Nereo Rocco: la leggenda del Paròn continua,1,Milano,Mondadori,2012,ebook
Benjamin W.,L'opera d'arte nell'epoca della sua riproducibilità tecnica,1,Torino,Einaudi,2014,ebook
AA. VV.,Manifesto per lo Sviluppo Agile di Software,1,Milano,Apogeo,2001,ebook
Sutherland J.,Fare il doppio in metà tempo,1,Milano,Rizzoli Etas,2015,ebook
"Frediani C., Rizzato S., Ruffilli B., Russo M., Zanotti R.",Attacco ai pirati,1,Torino,La Stampa / 40k,2015,ebook
Doctorow C.,Lockdown - L'imminente guerra civile per il computer universale,1,Milano,Apogeo,2013,ebook
Baudrillard J.,Cyberfilosofia,1,Milano,Mimesis,2010,ebook
Foucault M.,Eterotopia,1,Milano,Mimesis,2010,ebook
Mari E.,25 modi per piantare un chiodo,1,Milano,Mondadori,2011,ebook
Crary J.,24/7 Il capitalismo all'assalto del sonno,1,Torino,Einaudi,2015,ebook
Santoro P. L.,I giornali del futuro Il futuro dei giornali,1,Riccione,Informant,2015,ebook
Eggers D.,"I vostri padri dove sono? E i profeti, vivono forse per sempre?",1,Milano,Mondadori,2015,ebook
Miglieruolo M. A.,Dio è atterrato,1,Milano,Delos Digital,2008,ebook
Grandi P.,Pixar story ,1,Milano,Ulrico Hoepli editore,2014,ebook
Yoshikawa F.,Musashi,1,Milano,BUR Rizzoli,2014,ebook
Péguy C.,Lui è qui,1,Milano,BUR Rizzoli,2012,ebook
Beri M.,Python ,1,Milano,Apogeo,2010,ebook
Sweigart A.,Automate the boring stuff with Python,1,San Francisco,No Starch Press,2015,ebook
Rifkin J.,La società a costo marginale,1,Milano,Mondadori,2015,ebook
Tavčar S.,"La Jugoslavia, il Basket e un telecronista",1,Lecce,Youcanprint,2014,ebook
Nugent B.,Storia naturale del nerd,1,Milano,Isbn Edizioni,2011,ebook
Sandel M. J.,Quello che i soldi non possono comprare,1,Milano,Feltrinelli,2015,ebook
AA. VV.,Limes - Indagine sulle periferie (n. 4/2016,1,Roma,Gruppo Editoriale Espresso,2016,ebook
Yourcenar M.,Mishima o la visione del vuoto,1,Milano,Bompiani,2014,ebook
Kahneman D.,Pensieri lenti e veloci,1,Milano,Mondadori,2012,ebook
"Gupta G, Libby A., Talesra A.",Responsive Web Design with HTML5 and CSS3 Essentials,1,Birmingham,Packt Publishing,2016,ebook
"Goldstein A., Lazaris L., Weyl E.",HTML5 & CSS3 for the real world,2,Collingwood,SitePoint,2015,ebook
Tartaro S.,Haiku e saké,1,Torino,add editore,2016,ebook
Saba U.,Il Canzoniere,1,Torino,Einaudi,2014,ebook
Tranquillo F.,Basketball R-Evolution,1,Milano,Baldini&Castoldi,2016,ebook
Clark J.,Designing for touch,1,New York,A Book Apart,2015,ebook
AA. VV.,Valve handbook,1,Washington,Valve Corporation,2012,ebook
Corradino M.,È normale... lo fanno tutti,1,Milano,Chiarelettere,2016,ebook
Parkinson C. N.,La legge di Parkinson,1,Pescara,Monti & Ambrosini,2014,ebook
Sennet R.,"Insieme: rituali, piaceri, politiche della collaborazione",1,Milano,Feltrinelli,2014,ebook
Valensise M.,La cultura è come la marmellata,1,Venezia,Marsilio,2016,ebook
Gaiman N.,Come si fa un lettore,1,Milano,RCS MediaGroup,2016,ebook
Deutsch D.,L'inizio dell'infinito,1,Torino,Einaudi,2013,ebook
Magi G. (a cura di),I 36 stratagemmi,3,Vicenza,Il Punto d'Incontro,2010,ebook
Pavone S. ,I gesuiti dalle origini alla soppressione,1,Roma - Bari,Laterza,2015,ebook
Debord G.,La società dello spettacolo,2,Roma,Stampa Alternativa/Nuovi Equilibri,2011,ebook
Kraus K.,Essere uomini è uno sbaglio,1,Torino,Einaudi,2015,ebook
Harvey D.,Città ribelli,1,Milano,il Saggiatore,2013,ebook
Spadaro A.,Cyberteologia,1,Milano,Vita e Pensiero,2012,ebook
Pizzi M. ,Frank Zappa for president!,1,Vicenza,Wannaboo,2015,ebook
Le Goff J. (a cura di),L'uomo medievale,1,Roma - Bari,Laterza,2014,ebook
"Popper K. R., Antiseri D. (a cura di)",Logica della ricerca aperta,1,Brescia,Editrice La Scuola,2013,ebook
Baldini M.,Virtù dell'errore,1,Brescia,Editrice La Scuola,2013,ebook
Lih A.,La rivoluzione di Wikipedia,1,Torino,Codice edizioni,2010,ebook
Paternoster A.,Introduzione alla filosofia della mente,1,Roma - Bari,Laterza,2014,ebook
Türke C.,La società eccitata,1,Torino,Bollati Boringhieri,2012,ebook
Badaloni F.,Archiettura della Comunicazione,1,Italia,ilmiolibro,2016,ebook
CEI ,Bibbia di Gerusalemme,1,Firenze,Edimedia,2014,ebook
Ruggeri R.,America: un romanzo gotico,1,Venezia,Marsilio,2017,ebook
Gaiman N.,American Gods,1,Milano,Mondadori,2014,ebook
Serianni L.,"Leggere, scrivere, argomentare",1,Roma - Bari,Laterza,2013,ebook
Serafini F.,Questo è il punto: istruzioni per l'uso della punteggiatura,1,Roma - Bari,Laterza,2012,ebook
Lee A.,Il Rinascimento cattivo,1,Milano,Bompiani,2016,ebook
Bush V.,Manifesto per la rinascita di una nazione,1,Torino,Bollati Boringhieri,2013,ebook
Longanesi L.,La sua signora,1,Milano,Longanesi,2017,ebook
Longanesi L.,Parliamo dell'elefante,1,Milano,Longanesi,2017,ebook
Ponti M.,"Sola andata: trasporti, grandi opere e spese pubbliche senza ritorno",1,Milano,EGEA,2017,ebook
Naím M.,La fine del potere,1,Milano,Mondadori,2013,ebook
Florenskij P. A.,"Stratificazioni, scritti sull'arte e la tecnica",1,Parma,Edizioni Diabasis,2008,ebook
Turoldo D. M.,Il sapore del pane,1,Cinisello Balsamo,Edizioni San Paolo,2012,ebook
Ventura R. A.,Teoria della classe disagiata,1,Roma,Edizioni minumum fax,2017,ebook
Camera A.,Startup marketing: strategie di growth hacking per svilupppare il vostro business,1,Milano,Ulrico Hoepli editore,2017,ebook
"Karvinen K., Karvinen T., Valtokari V.",Make: Sensors,1,Sebastopol,O' Reilly Media,2014,ebook
"Pearson S. H., Stacey P.",Made With Creative Commons,1,Copenhagen,Crtl+Alt+Delete Books,2017,ebook